Name,Country,Type,Levels,Typical_Academic_Requirement,Typical_English_Requirement,Estimated_Tuition_USD_per_year,Notes_for_International_Students
University of North Carolina at Chapel Hill,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Virginia,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Rutgers University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Michigan State University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Texas A&M University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Indiana University Bloomington,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Pittsburgh,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Arizona,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Colorado Boulder,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Vanderbilt University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Emory University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Brandeis University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Case Western Reserve University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Miami,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Northeastern University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University at Buffalo (SUNY),USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
"University of California, Davis",USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
"University of California, Irvine",USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
"University of California, Santa Barbara",USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
San Diego State University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
San Francisco State University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Arizona State University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Kansas,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Tennessee,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Oklahoma,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Missouri,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Oregon,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Clemson University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
"University of Maryland, College Park",USA,University,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
George Washington University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
American University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Syracuse University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Portland State University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Loyola Marymount University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Pepperdine University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Baylor University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Brigham Young University (BYU),USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Stony Brook University (SUNY),USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Binghamton University (SUNY),USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Connecticut,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Kentucky,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Auburn University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Wichita State University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Miami Dade College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Santa Monica College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Foothill College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
De Anza College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Northern Virginia Community College (NOVA),USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
City College of San Francisco,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Lone Star College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Bellevue College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Portland Community College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Collin College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
North Seattle College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Los Angeles City College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Century College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
James Madison University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
"University of Nevada, Las Vegas (UNLV)",USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Massachusetts Amherst,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Rhode Island,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Western Washington University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
"California State University, Long Beach (CSULB)",USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
"California State University, Northridge (CSUN)",USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
San Jose State University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Houston,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Kapiʻolani Community College,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Montclair State University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Rutgers University Newark,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Fairleigh Dickinson University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Hofstra University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Fordham University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Seton Hall University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Rowan University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
The New School,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Denver,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Colorado State University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of New Mexico,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of South Florida,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
Florida International University,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Central Florida,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Idaho,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of Alaska Anchorage,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
University of North Dakota,USA,University,Bachelor|Master,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$20,000–60,000",International students: check specific program requirements and visa documentation
